World_cinema,year,Remade_tamil,year_o_r,genre,rating
Addicted to Love,1997,Azhagai Irukkirai Bayamai Irukkirathu ,2006,"Comedy, Romance",6.1
Charlie's Angels,2000,Three Roses ,2003,"Action, Adventure, Comedy",5.5
Banco à Bangkok pour OSS 117,1964,Vallavan Oruvan ,1966,"Action, Adventure, Thriller",5.5
Furia à Bahia pour OSS 117,1965,CID Shankar ,1970,"Action, Adventure, Thriller",5.7
The Brass Bottle,1964,Pattanathil Bhootham,1967,"Comedy, Fantasy",6.4
For Love or Money,1993,Guru En Aalu ,Tami,"Comedy, Drama, Romance",6.2
The Thief of Bagdad,1924,Baghdad Thirudan ,பாக்,"Adventure, Family, Fantasy",7.7
A Place in the Sun,1951,Avana Ivan ,1962,"Drama, Romance",7.8
Chase a Crooked Shadow,1958,Puthiya Paravai ,1964,"Crime, Mystery, Thriller",7.1
Come September,1961,Anbe Vaa ,1966,"Comedy, Romance",7.0
A Fish Called Wanda,1988,London ,2005,"Comedy, Crime",7.5
Unknown,I) (2006,Yaarukku Theriyum,2012,"Crime, Drama, Mystery",6.5
Juyuso seubgyuksageun,1999,Moodar Koodam ,2013,Comedy,7.0
Following,1998,Vaamanan ,1998,"Crime, Mystery, Thriller",7.5
Cyrano de Bergerac,1990,Duet ,1994,"Comedy, Drama, History",7.5
The Bridges of Madison County,1995,Pokkisham ,2009,"Drama, Romance",7.6
Gladiator,2000,Dorai ,2008,"Action, Adventure, Drama",8.5
Primal Fear,1996,Kadhal Kirukkan ,2003,"Crime, Drama, Mystery",7.7
Katakuri-ke no kôfuku,2001,Yaamirukka Bayamey, 201,"Comedy, Fantasy, Horror",7.1
The Fugitive,1993,Ellame En Kaadhali ,1995,"Action, Crime, Drama",7.8
Multiplicity,1996,Vyabari ,2007,"Comedy, Romance, Sci-Fi",6.1
